Entity,Code,Day,New cases (per 1M)
United Kingdom,GBR,2020-03-01,0.0691454
United Kingdom,GBR,2020-03-02,0.07752666
United Kingdom,GBR,2020-03-03,0.10686107
United Kingdom,GBR,2020-03-04,0.18857835
United Kingdom,GBR,2020-03-05,0.30382067
United Kingdom,GBR,2020-03-06,0.4169677
United Kingdom,GBR,2020-03-07,0.5028756
United Kingdom,GBR,2020-03-08,0.651643
United Kingdom,GBR,2020-03-09,0.7857431
United Kingdom,GBR,2020-03-10,0.8590792
United Kingdom,GBR,2020-03-11,1.0832778
United Kingdom,GBR,2020-03-12,1.5170081
United Kingdom,GBR,2020-03-13,2.2440825
United Kingdom,GBR,2020-03-14,3.1555445
United Kingdom,GBR,2020-03-15,3.9831939
United Kingdom,GBR,2020-03-16,4.5782633
United Kingdom,GBR,2020-03-17,5.387055
United Kingdom,GBR,2020-03-18,6.338328
United Kingdom,GBR,2020-03-19,7.4237013
United Kingdom,GBR,2020-03-20,8.641079
United Kingdom,GBR,2020-03-21,9.806074
United Kingdom,GBR,2020-03-22,11.429943
United Kingdom,GBR,2020-03-23,13.17115
United Kingdom,GBR,2020-03-24,15.09884
United Kingdom,GBR,2020-03-25,18.633636
United Kingdom,GBR,2020-03-26,21.92328
United Kingdom,GBR,2020-03-27,25.447601
United Kingdom,GBR,2020-03-28,29.636135
United Kingdom,GBR,2020-03-29,33.621426
United Kingdom,GBR,2020-03-30,36.95507
United Kingdom,GBR,2020-03-31,40.007946
United Kingdom,GBR,2020-04-01,44.001614
United Kingdom,GBR,2020-04-02,48.42273
United Kingdom,GBR,2020-04-03,53.084805
United Kingdom,GBR,2020-04-04,56.824944
United Kingdom,GBR,2020-04-05,60.38279
United Kingdom,GBR,2020-04-06,62.901356
United Kingdom,GBR,2020-04-07,64.4477
United Kingdom,GBR,2020-04-08,66.70645
United Kingdom,GBR,2020-04-09,68.8311
United Kingdom,GBR,2020-04-10,69.3654
United Kingdom,GBR,2020-04-11,69.47227
United Kingdom,GBR,2020-04-12,68.37013
United Kingdom,GBR,2020-04-13,67.55086
United Kingdom,GBR,2020-04-14,67.44819
United Kingdom,GBR,2020-04-15,65.20621
United Kingdom,GBR,2020-04-16,62.813354
United Kingdom,GBR,2020-04-17,62.65411
United Kingdom,GBR,2020-04-18,63.527855
United Kingdom,GBR,2020-04-19,64.88981
United Kingdom,GBR,2020-04-20,67.31828
United Kingdom,GBR,2020-04-21,68.10193
United Kingdom,GBR,2020-04-22,68.60062
United Kingdom,GBR,2020-04-23,69.56655
United Kingdom,GBR,2020-04-24,70.50316
United Kingdom,GBR,2020-04-25,70.23915
United Kingdom,GBR,2020-04-26,70.20563
United Kingdom,GBR,2020-04-27,68.13755
United Kingdom,GBR,2020-04-28,67.28895
United Kingdom,GBR,2020-04-29,67.91335
United Kingdom,GBR,2020-04-30,67.752014
United Kingdom,GBR,2020-05-01,67.576004
United Kingdom,GBR,2020-05-02,67.14646
United Kingdom,GBR,2020-05-03,66.73788
United Kingdom,GBR,2020-05-04,65.692314
United Kingdom,GBR,2020-05-05,64.699135
United Kingdom,GBR,2020-05-06,61.88932
United Kingdom,GBR,2020-05-07,59.72486
United Kingdom,GBR,2020-05-08,56.37026
United Kingdom,GBR,2020-05-09,53.91036
United Kingdom,GBR,2020-05-10,50.344135
United Kingdom,GBR,2020-05-11,48.06443
United Kingdom,GBR,2020-05-12,46.671047
United Kingdom,GBR,2020-05-13,47.119446
United Kingdom,GBR,2020-05-14,46.541138
United Kingdom,GBR,2020-05-15,45.48929
United Kingdom,GBR,2020-05-16,43.06501
United Kingdom,GBR,2020-05-17,41.94611
United Kingdom,GBR,2020-05-18,41.761723
United Kingdom,GBR,2020-05-19,40.714066
United Kingdom,GBR,2020-05-20,38.553795
United Kingdom,GBR,2020-05-21,37.82672
United Kingdom,GBR,2020-05-22,36.546486
United Kingdom,GBR,2020-05-23,36.41448
United Kingdom,GBR,2020-05-24,35.423397
United Kingdom,GBR,2020-05-25,34.270973
United Kingdom,GBR,2020-05-26,33.298748
United Kingdom,GBR,2020-05-27,31.295626
United Kingdom,GBR,2020-05-28,29.214977
United Kingdom,GBR,2020-05-29,27.341766
United Kingdom,GBR,2020-05-30,25.64456
United Kingdom,GBR,2020-05-31,24.542425
United Kingdom,GBR,2020-06-01,23.704298
United Kingdom,GBR,2020-06-02,23.090372
United Kingdom,GBR,2020-06-03,22.700644
United Kingdom,GBR,2020-06-04,21.489552
United Kingdom,GBR,2020-06-05,20.534088
United Kingdom,GBR,2020-06-06,19.469667
United Kingdom,GBR,2020-06-07,18.614779
United Kingdom,GBR,2020-06-08,17.927515
United Kingdom,GBR,2020-06-09,17.177393
United Kingdom,GBR,2020-06-10,16.464985
United Kingdom,GBR,2020-06-11,15.779818
United Kingdom,GBR,2020-06-12,15.417328
United Kingdom,GBR,2020-06-13,14.922833
United Kingdom,GBR,2020-06-14,14.776161
United Kingdom,GBR,2020-06-15,14.947977
United Kingdom,GBR,2020-06-16,15.16589
United Kingdom,GBR,2020-06-17,15.052743
United Kingdom,GBR,2020-06-18,14.922833
United Kingdom,GBR,2020-06-19,14.547772
United Kingdom,GBR,2020-06-20,14.56663
United Kingdom,GBR,2020-06-21,14.440911
United Kingdom,GBR,2020-06-22,14.015562
United Kingdom,GBR,2020-06-23,13.617453
United Kingdom,GBR,2020-06-24,13.311537
United Kingdom,GBR,2020-06-25,12.850567
United Kingdom,GBR,2020-06-26,12.347692
United Kingdom,GBR,2020-06-27,11.727478
United Kingdom,GBR,2020-06-28,11.04231
United Kingdom,GBR,2020-06-29,10.979451
United Kingdom,GBR,2020-06-30,10.587626
United Kingdom,GBR,2020-07-01,10.220946
United Kingdom,GBR,2020-07-02,9.676165
United Kingdom,GBR,2020-07-03,9.41425
United Kingdom,GBR,2020-07-04,9.162812
United Kingdom,GBR,2020-07-05,8.957472
United Kingdom,GBR,2020-07-06,8.4252615
United Kingdom,GBR,2020-07-07,8.653651
United Kingdom,GBR,2020-07-08,8.632698
United Kingdom,GBR,2020-07-09,8.603363
United Kingdom,GBR,2020-07-10,8.731177
United Kingdom,GBR,2020-07-11,8.974235
United Kingdom,GBR,2020-07-12,8.974235
United Kingdom,GBR,2020-07-13,9.097857
United Kingdom,GBR,2020-07-14,8.695558
United Kingdom,GBR,2020-07-15,8.750035
United Kingdom,GBR,2020-07-16,8.951186
United Kingdom,GBR,2020-07-17,9.085286
United Kingdom,GBR,2020-07-18,9.064333